sampleID	Bucket	SampleNumber	SampleType	FLWC_Detail	FLWC_Age_Months	FLWC_Location	Sampler_Initials	Bulking_Material_Detail	Composting_Time_Point	Date	Season	Crate_Location	Temp_Top_Bucket_C	Temp_Bottom_Bucket_C	Average_Ambient_Temp	Wt_Bucket_Compost_Kg	Wt_Bucket_Kg	Wt_Compost_Kg	Observations_Outside_Bucket	Observations_Vent_Tube	Visible_Contents_Access_Port	Compost_Temp_C	Compost_Moisture_Percent	Sample_Weight_g	Observed_Sample_Color	Observed_Sample_Moisture	Observed_Sample_Contents	Observed_Sample_Smell	Observed_Sample_Organisms_YN	Organism_Type	Length_Observed_Organism_mm	Compost_pH	Notes_Comments	sample_uuid	Sequenced_16S	Sequenced_18S	Sequenced_ITS	Sequenced_Metagenome
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical	numeric	numeric	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical
S_8092ad80	1	1	Bulking Material				JM	Straw		2021-09-02																									Y	Y		Y
S_4482d2bc	1	2	Bulking Material				JM	Fine Grained Sawdust		2021-09-15																									Y			Y
S_f2979533	1	3	Bulking Material				JM	Fine Grained Sawdust		2021-09-10																									Y			Y
S_355cbba7	1	4	Inside Toilet Pre Use				JM			2021-08-24																							Clean; not used for 5 years previously		Y			Y
S_de8f6a92	1	5	Soil Nearby Toilet				JM			2021-08-20																									Y			Y
S_52f2a5eb	1	6	Other Controls				JM			2021-10-04																									Y			
S_6c055796	1	7	Human Excrement				JM			2021-08-24																									Y	Y		Y
S_1ce93c87	1	8	Human Excrement				JM			2021-09-03																									Y	Y		Y
S_f88c3e66	1	9	Human Excrement				JM			2021-09-08																									Y	Y		Y
S_bcfdfab6	1	10	Human Excrement				JM			2021-09-15																									Y	Y		Y
S_1c9d1ab0	1	11	Human Excrement Compost Pre-Roll				JM		1	2021-10-04	Fall	1	15.2	14.8	15	5.35	1.35	4	water droplets on the inside of the lid observable through the top of the lid	small black flies; white larvae	straw; fine grained sawdust	19.9	45.4	3					N			9.5			Y			
S_772b5c41	1	12	Human Excrement Compost				JM		1	2021-10-04	Fall	1	16.9	16.7	16.8	5.35	1.35	4	water droplets on the inside of the lid observable through the top of the lid	small black flies; white larvae	straw; fine grained sawdust	19.5	34.4	3					N			9.5	Mixing appears to be effective		Y	Y		Y
S_3ec3c78c	1	13	Human Excrement Compost Pre-Roll				JM		2	2021-10-07	Fall	2	13.4	13.9	13.65	5.15	1.35	3.8	small black flies; white larvae  clustered around location 1 bucket;  white larvae  visible at location 6	large black flies	straw; fine grained sawdust	17	64	4					N			9.5			Y			
S_f48dce8e	1	14	Human Excrement Compost				JM		2	2021-10-07	Fall	2	13.9	12.8	13.35	5.15	1.35	3.8	small black flies and white larvae  clustered around location 1 bucket; white larvae  visible at location 7	small black flies	compact fine grained sawdust	17.3	58	2					Y	brown pupa; small black fly	3; 1	9.75	Mixing appears to be effective		Y		Y	
S_7c46c840	1	15	Human Excrement Compost Pre-Roll				JM		3	2021-10-13	Fall	3	18.6	8.6	13.6	5.1	1.35	3.75	small black flies and white larvae  clustered around location 1 bucket; white larvae  visible at location 6	small black flies; large black flies	fine grained sawdust	11.3	92	7					Y	large dead black fly; black beetle	3; 2	9			Y			
S_e706dd01	1	16	Human Excrement Compost				JM		3	2021-10-13	Fall	3	13.7	9.9	11.8	5.1	1.35	3.75	small black flies; white larvae clustered around location 1 bucket; white larvae visible at location 7	small black flies	fine grained sawdust; small air pocket	11.1	53	4					Y	brown pupa; small black fly	3; 1	9	Mixing appears to be effective		Y			Y
S_b1e34ca3	1	17	Human Excrement Compost Pre-Roll				JM		4	2021-10-21	Fall	4	19.2	15.2	17.2	5.2	1.35	3.85	manYsmall dead black flies on crate floor and on buckets	large dead flies; small black flies	fine grained sawdust; straw	10.6	86	2.2					N			7.5			Y			
